descriptor,mdi,perm_imp,perm_imp_normalized,combined,selected
bertz,0.06255437584172484,0.020504903984867463,0.2831828375297177,0.17286860668572127,True
c_o,0.005620999361865982,1.9089535225580435e-05,0.0002636358968709557,0.002942317629368469,False
ether,0.003523580811700781,9.545020680912231e-06,0.00013182144343106198,0.0018277011275659215,False
max_part_charge,0.022633738194271693,0.0009887852327709057,0.01365561175659206,0.018144674975431877,True
min_part_charge,0.02196838934779721,0.0007371761307360281,0.010180765957990704,0.016074577652893957,True
n_chiral,0.0006110737926329893,0.0,0.0,0.00030553689631649463,False
logp,0.061142571348710165,0.07240871008899204,1.0,0.5305712856743551,True
mw,0.1596528923440928,0.04783281521891356,0.6605947704375053,0.410123831390799,True
nhoh,0.004165620096686045,9.54512191460033e-06,0.00013182284151822546,0.002148721469102135,False
n_on,0.028111031951230003,2.8633442484027326e-05,0.00039544196338860534,0.014253236957309304,False
aromatic_rings,0.011143446871851431,0.00024804821065786963,0.0034256681323698826,0.0072845575021106565,False
hba,0.012384842829747592,2.8633138834499583e-05,0.00039543776983886014,0.006390140299793226,True
hbd,0.0037251715177202766,9.545020680912231e-06,0.00013182144343106198,0.0019284964805756693,False
nrb,0.023209974239915426,0.00019465089035410887,0.0026882248021664556,0.01294909952104094,True
sps,0.024956563189036694,0.005263558797654588,0.07269234310603721,0.04882445314753695,True
tpsa,0.02874090923498113,4.5508398439619845e-05,0.0006284934282586851,0.014684701331619908,True
n_ha,0.09275296850690866,0.0014218045906807086,0.019635822664611436,0.056194395585760046,False
n_het,0.04244629726185665,0.0001852654019069755,0.0025586065775689126,0.02250245191971278,True
c_o_rel,0.011115367812383656,0.00013040884496546835,0.0018010104696685352,0.006458189141026096,True
ether_rel,0.0073982501822346235,6.0444510018098364e-05,0.0008347684959973823,0.004116509339116003,False
n_chiral_rel,0.0007910875251134093,1.590887396996088e-05,0.000219709396154254,0.0005053984606338316,False
nhoh_rel,0.010135738880063973,6.680492206381227e-05,0.0009226089234528197,0.005529173901758396,True
n_on_rel,0.01541706826110028,0.00014312036361827652,0.0019765628118824127,0.008696815536491346,True
aromatic_rings_rel,0.017615806679387416,0.0011935771899152404,0.016483889692943093,0.017049848186165256,True
hba_rel,0.013836406729885162,0.00010830991506352027,0.0014958133480130332,0.007666110038949098,True
hbd_rel,0.009811546665471021,6.680370783267442e-05,0.0009225921543219188,0.0053670694098964696,False
nrb_rel,0.020190766935240596,0.005273635294493317,0.07283150449734423,0.04651113571629241,True
n_ha_rel,0.012616496521702911,5.726263414496113e-05,0.0007908252208136837,0.0067036608712582975,False
n_het_rel,0.012749406843154412,5.726384849837896e-05,0.0007908419916333314,0.006770124417393872,True
single,0.03497806644847993,0.0009160296466885764,0.01265082122803671,0.02381444383825832,True
aromatic,0.018229451515659446,0.00295439101801509,0.04080159713360551,0.02951552432463248,True
double,0.023847350414441297,0.0007592347200428895,0.010485405956131132,0.017166378185286213,True
triple,0.000983741892128981,0.0,0.0,0.0004918709460644905,False
peoe_vsa1,0.016009155176724126,0.00035925458726620007,0.004961483042919389,0.010485319109821757,True
peoe_vsa10,0.012200915263012512,0.00012406856927322797,0.0017134481351862882,0.0069571816990994005,True
peoe_vsa11,0.00895674565597971,6.044481372557975e-05,0.0008347726903474959,0.004895759173163603,False
peoe_vsa12,0.010602584032259534,0.0008746169784658919,0.012078891854183933,0.011340737943221733,True
peoe_vsa13,0.007184053386225597,7.31681679635443e-05,0.0010104884878299708,0.004097270937027784,False
peoe_vsa14,0.005361066453125075,5.726668248775546e-05,0.0007908811304244108,0.003075973791774743,False
peoe_vsa2,0.012843700141548706,0.00017492424863405632,0.0024157901503710014,0.007629745145959854,True
peoe_vsa3,0.013990994725834866,0.00010497872976062972,0.0014498080359615349,0.0077204013808982,True
peoe_vsa4,0.008905101096616169,0.004105758531786252,0.05670255038019842,0.032803825738407295,True
peoe_vsa5,0.005929546438468912,3.8986027875842486e-05,0.0005384162737870586,0.0032339813561279855,False
peoe_vsa6,0.016918053807511234,0.001541729532560887,0.02129204526176567,0.01910504953463845,True
peoe_vsa7,0.02185953738210868,0.0027877112821732553,0.03849966777128182,0.030179602576695247,True
peoe_vsa8,0.02111158762657218,0.005799752437012917,0.08009744172883183,0.05060451467770201,True
peoe_vsa9,0.019065958764835272,0.0004421413198052671,0.006106189700960904,0.012586074232898089,True
